"placename","start_date","end_date","deployment_duration","calculated_deployment_duration","count_of_obs_dates_at_place","deployment_id","longitude","latitude","feature_type_methodology","camera_id","camera_name","camera_functioning","sensor_height","sensor_orientation","remarks","habitat_type","trail"
"H11",2021-02-04,2021-02-09,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H12",2021-03-04,2021-03-08,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H13",2021-02-11,2021-02-15,5,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H15",2021-02-11,2021-02-16,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H16",2021-03-04,2021-03-09,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H19",2021-02-18,2021-02-23,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H20",2021-02-25,2021-03-02,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H21",2021-02-19,2021-02-21,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H22",2021-02-25,2021-03-02,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H23",2021-02-04,2021-02-09,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H24",2021-02-18,2021-02-23,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H25",2021-02-05,2021-02-08,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H33",2021-02-04,2021-02-08,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H34",2021-02-04,2021-02-09,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H35",2021-02-18,2021-02-23,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H36",2021-02-11,2021-02-16,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H37",2021-02-25,2021-03-02,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H38",2021-02-18,2021-02-23,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H40",2021-03-04,2021-03-09,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H41",2021-02-11,2021-02-16,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H42",2021-02-25,2021-03-02,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H43",2021-02-18,2021-02-23,5,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H47",2021-02-25,2021-03-02,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H48",2021-02-12,2021-02-16,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H49",2021-03-04,2021-03-09,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H58",2021-02-04,2021-02-09,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H59",2021-02-11,2021-02-16,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H60",2021-03-04,2021-03-09,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H64",2021-02-25,2021-03-01,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L26",2021-05-20,2021-05-25,5,NA,NA,"L26C14",-119.882728,34.420364,"Log",2028496,"C14","Camera Functioning","Knee height","Parallel",NA,"Scrub","no"
"H8",2021-04-29,2021-05-04,5,NA,NA,"H8C11",-119.881253,34.421972,"Constructed Hibernacula",2028214,"C11","Camera Functioning","Knee height","Parallel",NA,"Grassland","yes"
"H40",2021-05-13,2021-05-18,5,NA,NA,"H40C8",-119.87943,34.420427,"Constructed Hibernacula",2028039,"C8","Camera Functioning","Knee height","Parallel",NA,"Marsh","no"
"H39",2021-04-29,2021-05-04,5,NA,NA,"H39C10",-119.878562,34.419965,"Constructed Hibernacula",2028072,"C10","Camera Functioning","Knee height","Parallel",NA,"Scrub","no"
"H9",2021-04-22,2021-04-27,5,NA,NA,"H9C12",-119.88181,34.421872,"Constructed Hibernacula",2028303,"C12","Camera Functioning","Knee height","Parallel",NA,"Grassland","yes"
"H17",2021-04-22,2021-04-27,5,NA,NA,"H17C5",-119.880326,34.42077,"Constructed Hibernacula",2028314,"C5","Camera Functioning","Knee height","Parallel",NA,"Marsh","no"
"H39",2021-04-29,2021-05-04,5,NA,NA,"H39C9",-119.878562,34.419965,"Constructed Hibernacula",2028071,"C9","Camera Functioning","Knee height","Parallel",NA,"Scrub","no"
"B29",2021-05-20,2021-05-25,5,NA,NA,"B29C7",-119.8782324,34.419928,"Boulder",2028036,"C7","Camera Functioning","Knee height","Parallel",NA,"Scrub","no"
"H21",2021-05-20,2021-05-25,5,NA,NA,"H21C3",-119.877406,34.419903,"Constructed Hibernacula",2028436,"C3","Camera Functioning","Knee height","Parallel",NA,"Marsh","no"
"H36",2021-05-20,2021-05-25,5,NA,NA,"H36C5",-119.878198,34.419551,"Constructed Hibernacula",2028314,"C5","Camera Functioning","Knee height","Parallel",NA,"Scrub","no"
"L26",2021-05-20,2021-05-25,5,NA,NA,"L26C2",-119.882728,34.420364,"Log",2028495,"C2","Camera Functioning","Knee height","Parallel",NA,"Scrub","no"
"B12",2021-05-13,2021-05-18,5,NA,NA,"B12C2",-119.879871,34.421174,"Boulder",2028495,"C2","Camera Functioning","Knee height","Parallel",NA,"Marsh","no"
"B11",2021-04-29,2021-05-04,5,NA,NA,"B11C5",-119.881008,34.421292,"Boulder",2028314,"C5","Camera Functioning","Knee height","Parallel",NA,"Marsh","no"
"H9",2021-04-22,2021-04-27,5,NA,NA,"H9C11",-119.88181,34.421872,"Constructed Hibernacula",2028214,"C11","Camera Functioning","Knee height","Parallel",NA,"Grassland","yes"
"H7",2021-05-06,2021-05-07,1,NA,NA,"H7C12",-119.8807533,34.4219544,"Constructed Hibernacula",2028303,"C12","Memory Card","Knee height","Parallel",NA,"Grassland","yes"
"L30",2021-05-13,2021-05-18,5,NA,NA,"L30C9",-119.880816,34.420915,"Log",2028071,"C9","Camera Functioning","Knee height","Parallel",NA,"Marsh","no"
"L45",2021-04-22,2021-04-27,5,NA,NA,"L45C4",-119.879702,34.420394,"Log",2028437,"C4","Camera Functioning","Knee height","Parallel",NA,"Scrub","no"
"L59",2021-05-20,2021-05-25,5,NA,NA,"L59C10",-119.8801078,34.4191927,"Log",2028072,"C10","Unknown Failure","Knee height","Parallel",NA,"Grassland","no"
"H2",2021-05-13,2021-05-18,5,NA,NA,"H2C12",-119.874441,34.419386,"Constructed Hibernacula",2028303,"C12","Camera Functioning","Knee height","Parallel",NA,"Marsh","yes"
"H4",2021-05-20,2021-05-25,5,NA,NA,"H4C12",-119.8742022,34.4189948,"Constructed Hibernacula",2028303,"C12","Camera Functioning","Knee height","Parallel",NA,"Marsh","yes"
"L34",2021-05-06,2021-05-11,5,NA,NA,"L34C4",-119.878862,34.420634,"Log",2028437,"C4","Camera Functioning","Knee height","Parallel",NA,"Marsh","no"
