,,Winter,,,Spring,,,,,,,,,,,
,,Constructed Hibernacula,,,Constructed Hibernacula,,,Boulders,,,Logs,,,Total,,
Common Name,Scientific Name,Hrs.,Freq. (%),DR,Hrs.,Freq. (%),DR,Hrs.,Freq. (%),Rate,Hrs.,Freq. (%),Rate,Hrs.,Freq. (%),Rate
Brush Rabbit,Sylvilagus bachmani,417,79.31,1.853,91,64.29,0.784,13,60,0.265,29,37.5,0.446,133,55.56,0.578
North American Deermouse,Peromyscus maniculatus,376,79.31,1.671,80,50,0.69,22,100,0.449,26,75,0.4,128,66.67,0.557
California Ground Squirrel,Otospermophilus beecheyi,281,75.86,1.249,133,78.57,1.147,30,80,0.612,50,87.5,0.769,213,81.48,0.926
Western fence lizard,Sceloporus occidentalis,133,44.83,0.591,83,64.29,0.716,17,100,0.347,43,87.5,0.662,143,77.78,0.622
Virginia Opossum,Didelphis virginiana,16,37.93,0.071,13,42.86,0.112,4,80,0.082,9,37.5,0.138,26,48.15,0.113
Killdeer,Charadrius vociferus,12,10.34,0.053,4,7.14,0.034,11,60,0.224,8,25,0.123,23,22.22,0.1
Striped Skunk,Mephitis mephitis,14,34.48,0.062,6,14.29,0.052,7,60,0.143,7,50,0.108,20,33.33,0.087
American Crow,Corvus brachyrhynchos,9,31.03,0.04,8,35.71,0.069,6,40,0.122,8,25,0.123,22,33.33,0.096
Western Meadowlark,Sturnella neglecta,20,37.93,0.089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burrowing Owl,Athene cunicularia,14,10.34,0.062,2,7.14,0.017,0,0,0,0,0,0,2,3.7,0.009
Canada Goose,Branta canadensis,7,3.45,0.031,3,14.29,0.026,0,0,0,1,12.5,0.015,4,11.11,0.017
Song Sparrow,Melospiza melodia,7,20.69,0.031,0,0,0,0,0,0,2,12.5,0.031,2,3.7,0.009
Common Starling,Sturnus vulgaris,NA,NA,NA,3,14.29,0.026,1,20,0.02,3,25,0.046,7,18.52,0.03
American Pipit,Anthus rubescens,6,10.34,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Black Phoebe,Sayornis nigricans,NA,NA,NA,0,0,0,0,0,0,6,37.5,0.092,6,11.11,0.026
Western Bluebird,Sialia mexicana,NA,NA,NA,2,7.14,0.017,0,0,0,4,12.5,0.062,6,7.41,0.026
Hermit Thrush,Catharus guttatus,3,3.45,0.013,0,0,0,0,0,0,1,12.5,0.015,1,3.7,0.004
Say's Phoebe,Sayornis saya,2,3.45,0.009,1,7.14,0.009,0,0,0,1,12.5,0.015,2,7.41,0.009
House Sparrow,Passer domesticus,NA,NA,NA,1,7.14,0.009,0,0,0,2,12.5,0.031,3,7.41,0.013
Northern Raccoon,Procyon lotor,2,6.9,0.009,0,0,0,1,20,0.02,0,0,0,1,3.7,0.004
Wren sp.,Troglodytidae,3,6.9,0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cassin's Kingbird,Tyrannus vociferans,NA,NA,NA,0,0,0,0,0,0,2,12.5,0.031,2,3.7,0.009
Great Horned Owl,Bubo virginianus,NA,NA,NA,2,7.14,0.017,0,0,0,0,0,0,2,3.7,0.009
Grey Fox,Urocyon cinereoargenteus,2,6.9,0.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
House Finch,Haemorhous mexicanus,NA,NA,NA,0,0,0,0,0,0,2,12.5,0.031,2,3.7,0.009
Lark Sparrow,Chondestes grammacus,NA,NA,NA,1,7.14,0.009,0,0,0,1,12.5,0.015,2,7.41,0.009
Long-tailed Weasel,Mustela frenata,NA,NA,NA,0,0,0,0,0,0,2,12.5,0.031,2,3.7,0.009
Western Spotted Skunk,Spilogale gracilis,2,6.9,0.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western skink,Plestiodon skiltonianus,1,3.45,0.004,0,0,0,0,0,0,1,12.5,0.015,1,3.7,0.004
Bobcat,Lynx rufus,NA,NA,NA,0,0,0,1,20,0.02,0,0,0,1,3.7,0.004
Buff-bellied Pipit,Anthus rubescens,NA,NA,NA,0,0,0,0,0,0,1,12.5,0.015,1,3.7,0.004
California Scrub-Jay,Aphelocoma californica,NA,NA,NA,0,0,0,0,0,0,1,12.5,0.015,1,3.7,0.004
California Towhee,Melozone crissalis,1,3.45,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Common Garter Snake,Thamnophis sirtalis,1,3.45,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cooper's Hawk,Accipiter cooperii,1,3.45,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Great White Egret,Ardea alba,NA,NA,NA,0,0,0,1,20,0.02,0,0,0,1,3.7,0.004
